id,trial,nd_0,nd_30,nd_60,nd_90,d_0,d_30,d_60,d_90
VB01 ,1,10.2,-2.9,-3.7,18.5,8.6,18.9,22.4,25.5
VB01,2,4.9,10.9,14,15.9,9.2,,14.7,25.4
VB01,3,10.3,11.9,13.6,17.8,10.4,14.9,,21.4
VB02 ,1,13.2,11.8,14.7,20.3,7.4,14.6,11.9,21.2
VB02,2,9,10.8,15,13.3,11,10.1,14.6,
VB02,3,8.5,9.7,10.3,23.8,8.5,11.7,14.3,21
VB03 ,1,8.3,10,14.4,16.5,5.9,9.6,13.2,14.1
VB03,2,5.5,11.8,10.5,17.9,9.1,11.6,14.6,19.1
VB03,3,6.6,8.4,13.2,18.3,7.6,9.5,15.3,16.5
VB04 ,1,14.5,10.7,16.6,21.3,10.9,14.6,14.5,20.8
VB04,2,14.1,13.6,17.5,19.2,12,12,17.7,20.3
VB04,3,13.4,12.4,14.3,18.2,13.2,11.2,15.6,19.9
VB05 ,1,14.9,17.5,17.6,23.5,9.7,11.7,15.1,17.4
VB05,2,12.7,16.7,17.3,24.1,9.3,10.9,11.3,20.4
VB05,3,10.5,16.1,21.8,27.6,9,11.3,12.8,18.8
VB06 ,1,5.2,9.9,10.8,15.8,7.3,11.6,14.9,19.1
VB06,2,5.1,8.1,13.3,16.3,9.4,12.3,14.6,21.6
VB06,3,6.6,8.2,11,17.9,8.3,12.6,12.5,17.2
VB07 ,1,13.5,14.4,20.1,22.4,11.5,10.3,14.3,22.7
VB07,2,11.6,13.9,16.7,23.8,8.7,14.4,18.3,22.6
VB07,3,8.4,11,,19.5,10.6,14.2,20.3,19.3
VB08 ,1,0.6,6.4,8.5,15.3,10.4,12,13.3,21.2
VB08,2,4.2,6.4,6.4,12.1,10.2,12.4,12.2,12.3
VB08,3,2.8,5.7,9.1,15.2,8.6,10.2,11.1,21.1
VB09 ,1,10.5,14.1,10.8,17,8.2,11.6,16.3,16
VB09,2,11,10.7,9.3,23.5,10.9,5.8,10.2,15.6
VB09,3,1.7,11.8,11.8,16.2,10.1,7.5,15.4,14.9
VB010,1,17.2,13.5,21.8,25.5,11.2,15.9,19.7,17.5
VB010,2,19.6,19.3,22.5,21.5,12.7,5.9,18.6,20.7
VB010,3,14.8,15.8,24.1,21.4,10.2,19.2,21.8,22
VB11 ,1,4.5,8.4,8.8,13.7,5,1.4,6.7,12.8
VB11,2,11.8,8.1,9.5,12.2,3.8,2.3,4.4,16.5
VB11,3,6,7.9,10.5,12.8,5.3,5.3,12.5,18.8
VB12 ,1,2.7,7.1,,13.6,6.3,6.8,10,12.8
VB12,2,4.7,10,12.8,14.5,3.2,4.1,11.1,15.6
VB12,3,3.3,5.8,,15.1,5.3,4.7,13.2,14.4
VB13 ,1,2.5,6.4,4.8,8.7,1.9,2.3,5.2,12.6
VB13,2,10.8,4,6.7,19.3,1.6,1.4,10.5,15.5
VB13,3,5.2,1.1,6.3,12.1,9.2,8.9,9.4,11.9
VB14 ,1,5.1,9.7,11.2,,14.6,19.3,22,24.5
VB14,2,9,14.3,11.1,18,13.2,10.2,,30.5
VB14,3,6.8,4.2,15.4,19.3,17.3,15.9,,30.2
VB15 ,1,6,,,,,,,
VB15,2,,,,18.8,,,,
VB15,3,,,10.9,20.3,,,,
VB16 ,1,8.4,,13.7,15.9,14.4,14.1,,16.4
VB16,2,2.7,,18.4,,15.6,15,,20.7
VB16,3,,4,14.2,,13.2,,,20.8
VB17 ,1,,8.5,4.9,17.2,5.9,7.2,2.7,19.3
VB17,2,8.3,8.4,2,16.9,13.7,6.3,4.1,10.7
VB17,3,7.5,8.9,10.3,,5.4,8.4,5.5,11.1
VB18,1,3,2.3,11.9,19.3,1.1,5.6,9,18
VB18,2,-0.9,1.7,8.2,13.4,3.3,7.1,16.4,14.3
VB18,3,4.3,3.3,5.5,18.4,1.5,2.3,13.6,16.1
VB19 ,1,13.4,7.5,13.1,22.3,14.9,23.5,21.7,29.2
VB19,2,10.2,9.1,16.7,20.2,12.9,20.7,25.9,26.1
VB19,3,5.3,8.4,16.7,18.1,11.1,14.5,24.8,30.3
VB20 ,1,13.4,14.2,19.5,21.6,15.9,19.5,12.7,22.1
VB20,2,7.3,12.4,11.4,20.8,2.2,10.7,19.2,21.7
VB20,3,7,5.8,14.5,20.2,17.3,8.3,13.9,23
VB21 ,1,8.1,11,13,19.3,3.9,3.7,12.6,16.7
VB21,2,4.6,,14.7,23.9,2,9.4,11.1,14.3
VB21,3,6.5,,15.6,22.7,2.4,8.1,11,12.8
VB22 ,1,7.4,13,16.3,19.9,13.7,11,14.5,20.8
VB22,2,7.6,8.9,11.6,19.4,10.9,12.2,15.8,20.4
VB22,3,9.2,10.1,15.4,18.4,12.9,9.9,18.1,20.1
VB23 ,1,13,15.7,18.7,27.8,25.7,17.2,34.1,38.3
VB23,2,10.4,14.5,21.9,20.6,32.1,26.4,30.2,33.3
VB23,3,17.9,11,25.5,26.4,21.8,20.4,26,38.6
VB24 ,1,8.3,8.6,10.8,18.5,1.1,10.3,15.4,14.1
VB24,2,8.3,6.9,11.8,16.2,6.2,9,15.6,16.1
VB24,3,6.3,7.9,12.2,17.6,3.6,6.1,7.3,12.7
VB25 ,1,15.3,14.6,22.6,24.9,12.3,11.4,13.5,24.5
VB25,2,20.5,14.8,19.4,22.2,11.5,10.4,12.6,21.5
VB25,3,16.6,15,20.4,23.5,,13.6,17.2,21.4
VB26 ,1,,,,18.4,,,14.3,22
VB26,2,,,12.6,19.4,,,15.2,
VB26,3,,22,10.7,17.6,,,14.6,
VB27 ,1,,,19.4,20.8,,,14.2,18.3
VB27,2,,,,22.4,10.5,9.7,11.5,16.6
VB27,3,,,22.9,24.8,7,,14.9,24.9
VB28 ,1,10.7,14.9,20.6,18.3,13.3,7.7,14.9,22.6
VB28,2,10.1,13.8,14.3,18.9,6.8,9.6,18.9,21.1
VB28,3,13.9,13.1,18.4,11.8,8.1,10.4,18.6,19
VB29 ,1,1.1,4.2,13,15.3,4.3,11.7,14.7,18.5
VB29,2,-2.1,5.4,12.7,16.9,6.9,7.8,12.4,22.2
VB29,3,3.8,8.8,12.2,19.1,5,11.2,13.9,19.8
VB30 ,1,10,10.9,15.3,21.8,11.8,13.4,17.9,22.4
VB30,2,8.9,13.7,17.5,20.4,13.6,14.2,15.2,21.2
VB30,3,12.3,10.7,15,22.6,13.2,16.6,20.4,20.8
VB31 ,1,-2.8,1.8,7.5,10.4,6.3,6.9,9.7,15.4
VB31,2,5.7,1.2,5.2,11.6,3.2,3.7,6.5,14
VB31,3,-3.4,3.2,4.5,13,1,4.3,,14.5
VB32 ,1,9.4,5.6,9.4,8.3,-0.3,0.7,0.4,4.1
VB32,2,10.9,9.2,10.7,14.9,-1.1,1,3.9,7.1
VB32,3,7.6,15.9,13,18.9,-3.7,4.2,7.2,3.8
VB33 ,1,7.4,12.7,,,8,6.2,2.8,3.2
VB33,2,4.9,9.3,10.2,8.4,6.7,7.9,-2.4,6.9
VB33,3,11.2,7.4,12.3,11.5,13.1,14.9,6.2,11.8
VB34 ,1,13.5,12.2,15.1,21.9,15.3,14.4,18.3,25.2
VB34,2,11.4,12.6,15,22.2,17,18.4,17.6,25.2
VB34,3,12.6,15,17.2,20.8,15.4,16.3,16.9,23.5
VB35 ,1,16.6,17,18.9,23.2,23,21.5,25.1,30.2
VB35,2,20.5,19.7,16,23.6,23,24.2,24.7,30
VB35,3,18.7,15.8,21.5,24.1,14.5,21,26.1,28.9
VB36 ,1,13.1,19.5,23.8,30.8,21.2,23.3,27.1,26.6
VB36,2,19.2,24.9,30.6,30.2,21.1,21,24,28.9
VB36,3,21.3,24.2,28,32.7,17.6,19.5,25.8,30.6
VB37 ,1,11.9,19,14.8,11.3,0.8,5.4,-6.1,5.7
VB37,2,18.7,11.6,20.3,17.2,-0.8,5.9,-1.4,5.8
VB37,3,18.7,14.5,17.8,11.2,-3.7,10.9,2.7,3.6
VB38 ,1,8.8,9.1,11.8,17.2,10.9,14.6,24.6,25.4
VB38,2,7.4,12.2,15.6,17.3,4.2,8.6,17.4,24.5
VB38,3,2.4,8.6,5,19,7.8,12.7,12.6,18.5
VB39 ,1,13.9,11.8,15.2,20.2,5.8,11.9,17.5,22.9
VB39,2,15.2,18.1,19.5,18.9,14.6,14.3,19.1,22.7
VB39,3,10.7,9.1,15.6,18.2,12.4,15.8,15.9,22.4
VB40 ,1,,22.3,,,10.8,13.2,14,29.4
VB40,2,,,,,17.4,18.7,14.7,26.1
VB40,3,,18.9,,30.1,12.6,13.7,18.2,25.2
VB41 ,1,17.4,19.3,22.8,25.5,13.1,13.2,14.8,21.7
VB41,2,14.2,15.4,21.1,29.2,12.2,13.5,14.3,22.1
VB41,3,19.1,16.3,16.1,27.9,8.4,11.4,19.1,21.6
VB42 ,1,12.6,10.3,12,18.2,9.7,10.5,14.6,18.6
VB42,2,12.5,13.7,17.7,22.4,10,12.8,15.7,17.7
VB42,3,11.8,13,13.2,22.9,5.4,9.9,20.3,18.6
VB43 ,1,15,13.5,20.7,21.1,16.6,13.7,17.4,22.5
VB43,2,13.8,13.8,18,21.4,19.5,15.9,24.2,22.7
VB43,3,17.5,16.3,,21,16.4,16.6,17.9,21.1
VB44 ,1,17.6,22.9,24.7,27.6,12.6,12.4,17.9,23.5
VB44,2,25.7,23,24.5,32.2,13.3,13.5,21.6,20.9
VB44,3,23.6,22.9,23.1,26.6,14.1,14.2,23.4,24.8
VB45 ,1,8.4,11.2,19.3,21.5,11.2,12,18.5,22
VB45,2,7.4,7.3,17.8,21.9,13.3,16,15.5,20.3
VB45,3,8.2,12.9,19.8,24,11.6,13,15.8,20.3
VB46 ,1,4.3,10.4,17.2,18.4,1.2,5.3,6.7,6.6
VB46,2,9.5,10.9,7.2,8.7,-2.9,4.1,9.2,11.1
VB46,3,5.7,7.8,12.8,14.2,2.7,0.05,6.3,7.5
VB47 ,1,13.3,21.7,19.7,27.9,9.1,15.6,15.6,20.8
VB47,2,12.7,20.4,22,29.2,9.1,17.6,15.3,23.1
VB47,3,14.3,15.7,21.8,29.1,13.6,10.4,17,19.8